NRIC,Name,Gender,BloodType,Disease,Age,Zipcode,BMI,DateOfDiagnosis
T0581222F,Russell Waldbauer,M,O,Nipah,63,281223,28.7,2001-06-20
F0005772O,Latoya Brown,M,AB,Conjunctivitis,42,587904,37.2,2011-06-02
T7303748A,Robert Benthall,M,A,Typhoid,85,770807,27.0,1990-08-23
T6353952U,Pearl Almaraz,F,B,HIV/ AIDS,27,187483,31.2,2003-10-15
T0357152V,Jean Fulker,F,A,HIV/ AIDS,34,624914,36.2,2000-04-20
F7038577Z,Heather Boyd,F,O,Dengue,70,271920,23.0,2018-08-24
S5150137K,Ella Primavera,F,AB,Food Poisoning,41,531728,33.3,2001-07-26
S4618241G,Richard Keffer,F,O,Influenza,42,133913,30.3,2020-12-14
S9635216J,Marvin Rice,F,AB,Dengue,69,381875,22.9,2010-09-30
S6505606X,Linda Erickson,F,AB,Measles,54,218052,32.6,2003-07-09
G2481867Q,Edith Ward,M,O,COVID-19,21,175921,19.6,1998-04-29
G9220162H,Eric Heard,F,B,Pneumococcal,18,313658,38.4,2002-11-24
F7453159E,Maryellen Graham,F,A,Food Poisoning,60,687220,34.4,2005-07-30
T8270500P,Donald Perdomo,F,AB,Typhoid,82,595830,28.9,2002-09-21
T6665532E,Mickey Williams,F,O,Food Poisoning,71,257642,37.8,1991-03-09
T1688605S,Franklin Brodie,F,AB,Influenza,46,474645,38.1,2019-01-04
T2348749N,Adrienne Clark,F,A,Measles,22,565562,35.7,2013-04-06
G0177418L,Rosalyn Petersen,F,O,COVID-19,82,571872,18.7,1999-07-03
T5374411Z,Timothy Cleckler,F,A,Cholera,49,355014,19.5,2013-08-20
F6817959Y,Jeffrey Claggett,F,O,Rabies,24,243740,28.2,2016-04-01
S8341594Q,Gloria Hayden,M,AB,HIV/ AIDS,52,568871,22.7,2007-03-28
F7889685W,Claudia Laxen,F,A,Smallpox,58,344752,25.9,2021-02-19
T9469687M,Kay Luke,F,AB,HIV/ AIDS,46,716014,32.6,1991-08-06
S3027186Z,Ruth Dudley,F,O,Cholera,18,394500,28.0,2014-12-25
F0331094P,Thomas Andrews,M,O,Conjunctivitis,80,240589,38.7,2013-10-09
F5899653O,Wilburn Delong,M,B,Dengue,38,382164,25.7,2013-03-26
S3388048K,Sherri Bartholomew,F,O,Diphtheria,39,666125,32.7,1997-07-01
F7890635D,Rita Rice,F,AB,Influenza,49,412742,38.9,1994-04-16
G6791543B,Johnny Butler,M,B,Chickenpox,66,485704,24.1,2014-04-14
F3046464J,Ron Walker,M,AB,Conjunctivitis,67,601481,18.7,2010-01-06
T7469954W,Teresa Benton,M,A,Mumps,82,109798,28.1,2013-02-27
G5518386I,Ann Wood,F,O,Hepatitis,87,802121,30.0,2009-09-15
T7466001W,Wendy Garver,M,A,Plague,65,361145,25.0,2006-04-14
S6727324Q,Connie Brown,F,A,Influenza,73,333245,32.0,1993-12-08
G3263205X,Christian Baker,M,AB,Malaria,72,277827,20.6,2007-09-26
S1157888S,Aaron Akins,F,O,Plague,52,563276,32.8,2012-01-11
T8884999K,Charlotte Morrison,F,A,Anthrax,67,340058,22.0,2010-05-02
T2950551Y,Diana Vigil,M,A,Pneumococcal,75,305615,28.9,2010-06-07
S3237895J,Christopher Baker,F,A,Chickenpox,35,293161,25.6,2003-05-12
T1358500I,Maureen Tang,F,A,Mumps,86,713337,26.4,1994-12-19
T1782874J,Virginia Smith,M,B,Chickenpox,53,422336,25.6,2004-10-15
S8938484C,Mary Mitchell,M,AB,HIV/ AIDS,43,639621,31.5,2010-12-30
T1677818X,James Bison,M,AB,Pneumococcal,62,467140,28.5,2019-10-20
G3497989H,Robert Bemrose,F,AB,Anthrax,86,172078,18.7,2002-10-26
S9222378W,Maude Murphy,F,A,Food Poisoning,44,540149,18.8,1995-02-18
G6801049V,Carol Lowe,F,AB,Mumps,43,680044,38.8,2004-04-07
F9055673V,Yolando Solomon,M,A,Cholera,87,189662,36.8,2011-03-23
S4687698M,Patricia Johnston,M,A,Typhoid,48,615404,31.4,2005-03-02
S3671765I,Lucia Cote,F,AB,Nipah,65,228295,25.5,2011-01-14
S1371632O,Brent Armstong,M,B,Hepatitis,34,647284,21.7,1996-09-19
F1374750W,Christopher Baber,M,B,Chickenpox,50,233789,22.0,2003-09-02
T0608419P,Velma Judd,F,AB,Typhoid,83,723435,34.2,2018-09-17
F9438526Q,Kenneth Kirschman,M,B,Food Poisoning,48,161989,35.2,1991-06-12
T0175968B,James Allen,F,AB,Conjunctivitis,64,736751,37.0,2019-09-30
G0705286D,Joan Ewing,M,A,Smallpox,86,384859,34.0,1995-05-25
F5302865T,Laura Ferree,M,O,Hepatitis,21,505329,38.6,2003-01-14
F2024908T,James Collins,M,A,Chickenpox,32,398404,28.6,2008-04-04
G7381224H,Lee Vandusen,M,B,Dengue,28,341959,25.7,2015-03-12
G3150252H,Melvin Liebert,M,AB,Chickenpox,36,303850,39.6,1995-10-08
S2710287C,Mariam Jarvis,M,O,HIV/ AIDS,32,631529,35.6,1998-05-23
F5449551F,Laura Snodgrass,F,A,Smallpox,71,782678,23.8,1993-01-21
G6095830U,Virginia Warren,F,A,Rabies,82,571712,39.1,1998-06-02
T6339404V,Mary Burgess,M,A,Anthrax,67,315866,25.4,2006-02-18
G2045265Z,Juan Huntington,M,AB,Typhoid,40,570587,36.9,2020-12-21
S2846056L,Garry Chase,M,B,COVID-19,59,555834,30.3,2005-01-20
